Name,Net Energy,Handle Penalty,Spacer Structure Fraction,Spacer Net Energy,Handle Fraction,Spacer Penalty,Handle-Spacer Penalty,Duplex Energy,New Net Energy,MS2 in MFE?,Available Seed Bases,Kinetic Handle?,Kinetic MS2?,Kinetic Handle Barrier,Thermo 5 prime bases,Kinetic 5 prime bases,Handle Barrier,Spacer Barrier,Bind Barrier,Kinetic Bind Barrier,Local Fraction (5),Local Fraction (10),MFEpath Convergence,Stringent Convergence,Spacer GC Content,Seed GC Content,Spacer ddG,Bind ddG,Kinetic Bind ddG,tracer duplex net energy,tracer duplex (ROUGH) barrier,tracr duplex handle formed?,tracr duplex ms2 formed?,Spacer-only Barrier,Spacer-only ddG,Fluorescence
g6,-36,0,0.15,-35.3,0.712460245,2.8,3.5,-38.8,-35.3,TRUE,5,1000,1000,1000,1000,16,0,3.5,3.5,1000,1000,1000,1000,1000,0.55,0.625,3.5,3.5,1000,1000,1000,1000,1000,0,0,
g7,-23.7,3.6,0.65,-26.8,0.001997592,6.7,3.6,-30.4,-23.2,TRUE,2,1000,1000,1000,1000,3,13.1,7.1,12.9,1000,1000,1000,1000,1000,0.35,0.375,3.6,7.2,1000,1000,1000,1000,1000,2.9,-0.4,
g8,-34,3.2,0.45,-36.5,0.004176382,4.7,2.2,-38.7,-33.3,TRUE,8,1000,1000,1000,1000,10,11.5,7.9,11.5,1000,1000,1000,1000,1000,0.55,0.5,2.2,5.4,1000,1000,1000,1000,1000,0,0,
g9,-25.9,0,0.55,-25.2,0.988183498,5.3,6,-31.2,-25.2,TRUE,5,1000,1000,1000,1000,2,0,7.4,7.4,1000,1000,1000,1000,1000,0.4,0.25,6,6,1000,1000,1000,1000,1000,0,0,
g10,-31,0,0.4,-30.3,0.877147128,6.2,6.9,-37.2,-30.3,TRUE,2,1000,1000,1000,1000,7,0,10.7,10.7,1000,1000,1000,1000,1000,0.5,0.5,6.9,6.9,1000,1000,1000,1000,1000,0,0,
g11,-22.4,5,0.6,-26.9,0.000570862,9.8,5.3,-32.2,-21.9,TRUE,3,1000,1000,1000,1000,3,17.1,8.5,17.1,1000,1000,1000,1000,1000,0.4,0.25,5.3,10.3,1000,1000,1000,1000,1000,5.7,-1.4,
g12,-27.7,1.3,0.7,-28.3,0.063635603,2.4,1.8,-30.1,-27,TRUE,4,1000,1000,1000,1000,0,7.4,6.9,7.4,1000,1000,1000,1000,1000,0.35,0.375,1.8,3.1,1000,1000,1000,1000,1000,6.8,-0.4,
g13,-16.8,0.5,0.3,-16.8,0.486894331,4.3,4.3,-21.1,-16.3,TRUE,2,1000,1000,1000,1000,14,11.1,7.8,11.1,1000,1000,1000,1000,1000,0.15,0.125,4.3,4.8,1000,1000,1000,1000,1000,4.4,-0.3,
A,-32.5,0,0.5,-32.1,0.548911431,4.8,5.2,-37.3,-32.1,TRUE,3,1000,1000,1000,1000,6,0,7.5,7.5,1000,1000,1000,1000,1000,0.55,0.5,5.2,5.2,1000,1000,1000,1000,1000,4.6,-2.2,
C,-32.7,0,0.55,-32,0.944846634,7,7.7,-39.7,-32,TRUE,3,1000,1000,1000,1000,3,0,10.2,10.2,1000,1000,1000,1000,1000,0.6,0.5,7.7,7.7,1000,1000,1000,1000,1000,5.1,-2.5,
D,-32.8,0,0.6,-32.1,0.958657461,7.3,8,-40.1,-32.1,TRUE,3,1000,1000,1000,1000,1,0,8.8,8.8,1000,1000,1000,1000,1000,0.6,0.625,8,8,1000,1000,1000,1000,1000,6,-2.9,
F,-30.9,2.8,0.5,-33,0.006832712,8.1,6,-39,-30.2,TRUE,4,1000,1000,1000,1000,4,12,8.9,12,1000,1000,1000,1000,1000,0.6,0.625,6,8.8,1000,1000,1000,1000,1000,5.4,-2.7,
G,-30.8,3.5,0.6,-33.8,0.007990054,5.6,2.6,-36.4,-30.3,TRUE,3,1000,1000,1000,1000,5,5.8,8.5,12,1000,1000,1000,1000,1000,0.5,0.5,2.6,6.1,1000,1000,1000,1000,1000,0,0,
H,-18.5,4.6,0.75,-22.6,0.000508675,13.2,9.1,-31.7,-18,TRUE,1,1000,1000,1000,1000,1,7.5,14.3,18.9,1000,1000,1000,1000,1000,0.4,0.5,9.1,13.7,1000,1000,1000,1000,1000,6.9,-1.8,
I,-17.1,3.4,0.6,-19.8,0.004828784,6,3.3,-23.1,-16.4,TRUE,7,1000,1000,1000,1000,0,9.4,6.13,10.9,1000,1000,1000,1000,1000,0.2,0,3.3,6.7,1000,1000,1000,1000,1000,0,0,
J,-30.6,0,0.4,-30.1,0.266759457,4.5,5,-35.1,-30.1,TRUE,8,1000,1000,1000,1000,0,0,11,11,1000,1000,1000,1000,1000,0.45,0.25,5,5,1000,1000,1000,1000,1000,0,0,
K,-19.3,0,0.55,-18.6,0.994408036,14.2,14.9,-33.5,-18.6,TRUE,2,1000,1000,1000,1000,6,0,14.9,14.9,1000,1000,1000,1000,1000,0.4,0.375,14.9,14.9,1000,1000,1000,1000,1000,0,0,
L,-2,0,0.9,-1.3,0.994451121,32,32.7,-34,-1.3,TRUE,0,1000,1000,1000,1000,1,0,32.7,32.7,1000,1000,1000,1000,1000,0.45,0.5,32.7,32.7,1000,1000,1000,1000,1000,3.4,-0.3,
M,-33.4,0,0.5,-32.7,0.939714298,3.8,4.5,-37.2,-32.7,TRUE,4,1000,1000,1000,1000,1,0,5,5,1000,1000,1000,1000,1000,0.5,0.5,4.5,4.5,1000,1000,1000,1000,1000,3.6,-1.1,
N,-33.1,0,0.55,-32.4,0.970313061,4,4.7,-37.1,-32.4,TRUE,5,1000,1000,1000,1000,2,0,5.6,5.6,1000,1000,1000,1000,1000,0.55,0.75,4.7,4.7,1000,1000,1000,1000,1000,3.6,-0.2,
O,-34.6,0,0.5,-33.9,0.901276832,2.6,3.3,-37.2,-33.9,TRUE,4,1000,1000,1000,1000,3,0,4.9,4.9,1000,1000,1000,1000,1000,0.55,0.375,3.3,3.3,1000,1000,1000,1000,1000,0,0,
P,-32.8,0,0.25,-32.3,0.9072459,3.4,3.9,-36.2,-32.3,TRUE,3,1000,1000,1000,1000,12,0,5,5,1000,1000,1000,1000,1000,0.5,0.625,3.9,3.9,1000,1000,1000,1000,1000,5.7,-2.1,
Q,-33.4,0,0.2,-32.7,0.967347772,4,4.7,-37.4,-32.7,TRUE,4,1000,1000,1000,1000,15,0,4.7,4.7,1000,1000,1000,1000,1000,0.55,0.5,4.7,4.7,1000,1000,1000,1000,1000,4.8,-1.2,
R,-23.2,0,0.7,-22.5,0.988810621,13.8,14.5,-37,-22.5,TRUE,1,1000,1000,1000,1000,3,0,16.7,16.7,1000,1000,1000,1000,1000,0.5,0.5,14.5,14.5,1000,1000,1000,1000,1000,4.6,-1.6,
S,-21.7,0,0.65,-21.3,0.983500347,16,16.4,-37.7,-21.3,TRUE,3,1000,1000,1000,1000,0,0,17.2,17.2,1000,1000,1000,1000,1000,0.55,0.625,16.4,16.4,1000,1000,1000,1000,1000,5.1,-2.3,
T,-20.5,0,0.75,-19.8,0.99155628,15.1,15.8,-35.6,-19.8,TRUE,3,1000,1000,1000,1000,0,0,18.4,18.4,1000,1000,1000,1000,1000,0.5,0.375,15.8,15.8,1000,1000,1000,1000,1000,8.7,-5.4,
U,-20,0,0.75,-19.3,0.990991818,18.4,19.1,-38.4,-19.3,TRUE,1,1000,1000,1000,1000,2,0,21.6,21.6,1000,1000,1000,1000,1000,0.55,0.5,19.1,19.1,1000,1000,1000,1000,1000,4.5,-1.9,
V,-18.2,0,0.75,-17.8,0.991237197,19.9,20.3,-38.1,-17.8,TRUE,1,1000,1000,1000,1000,2,0,22.5,22.5,1000,1000,1000,1000,1000,0.55,0.5,20.3,20.3,1000,1000,1000,1000,1000,8.1,-5.5,
W,-12,0,0.8,-11.6,0.991231061,24.2,24.6,-36.2,-11.6,TRUE,1,1000,1000,1000,1000,2,0,26.8,26.8,1000,1000,1000,1000,1000,0.5,0.5,24.6,24.6,1000,1000,1000,1000,1000,5.5,-2.9,
W108,-32.7,0,0.6,-32.2,0.989937381,10.3,10.8,-43,-32.2,TRUE,3,1000,1000,1000,1000,3,0,12.8,12.8,1000,1000,1000,1000,1000,0.65,0.625,10.8,10.8,1000,1000,1000,1000,1000,6.9,-3.5,
AA,-31.5,0,0,-31.5,0.541422307,0,0,-31.5,-31.5,TRUE,8,1000,1000,1000,1000,20,0,0,0,1000,1000,1000,1000,1000,0.4,0.375,0,0,1000,1000,1000,1000,1000,0,0,
BB,-33,0,0,-33,0.651320342,0,0,-33,-33,TRUE,8,1000,1000,1000,1000,20,0,0,0,1000,1000,1000,1000,1000,0.45,0.5,0,0,1000,1000,1000,1000,1000,0,0,
CC,-32.4,0,0,-32.4,0.62637495,0,0,-32.4,-32.4,TRUE,8,1000,1000,1000,1000,20,0,0,0,1000,1000,1000,1000,1000,0.4,0.25,0,0,1000,1000,1000,1000,1000,0,0,
DD,-34.2,0,0.15,-34.2,0.980252038,3.3,3.3,-37.5,-34.2,TRUE,5,1000,1000,1000,1000,16,0,3.3,3.3,1000,1000,1000,1000,1000,0.55,0.5,3.3,3.3,1000,1000,1000,1000,1000,0,0,
EE,-32.9,0,0.15,-32.9,0.957335186,3.3,3.3,-36.2,-32.9,TRUE,5,1000,1000,1000,1000,16,0,3.3,3.3,1000,1000,1000,1000,1000,0.5,0.375,3.3,3.3,1000,1000,1000,1000,1000,0,0,
J119,-29.1,0,0.6,-28.6,0.774878235,10.4,10.9,-39.5,-28.6,TRUE,4,1000,1000,1000,1000,1,0,11.5,11.5,1000,1000,1000,1000,1000,0.55,0.5,10.9,10.9,1000,1000,1000,1000,1000,11.7,-8.1,
