Name,Folding Barrier,Handle Barrier,Spacer Barrier,Net Binding Energy,Folding Energy,Binding Energy,Handle Fraction,Net Energy,Handle Penalty,Spacer Structure Fraction,Spacer Net Energy,Spacer Penalty,Handle-Spacer Penalty,MS2 in MFE?,Available Seed Bases,Kinetic Handle?,Kinetic MS2?,Kinetic Handle Barrier,Thermo 5 prime bases,Kinetic 5 prime bases,Kinetic Bind Barrier,Local Fraction (5),Local Fraction (10),MFEpath Convergence,Stringent Convergence,Spacer GC Content,Seed GC Content,Spacer ddG,Kinetic Bind ddG,tracer duplex net energy,tracer duplex (ROUGH) barrier,tracr duplex handle formed?,tracr duplex ms2 formed?,Spacer-only Barrier,Spacer-only ddG,Fluorescence
J606-14,8.5,0.0,8.5,-19.8,8.5,-28.3,0.9911543745342751,-20.5,0.0,0.57,-19.8,7.8,8.5,True,3.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.25,8.5,1000.0,1000.0,1000,1000,1000,4.0,-1.8000000000000007,
J606-13,8.5,0.0,8.5,-17.1,8.5,-25.6,0.9911329032553933,-17.8,0.0,0.62,-17.1,7.8,8.5,True,3.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.25,8.5,1000.0,1000.0,1000,1000,1000,3.8,-1.5999999999999979,
J606-12,8.4,0.0,8.4,-15.3,8.4,-23.7,0.9909396826751057,-16.0,0.0,0.67,-15.3,7.7,8.4,True,3.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.25,8.4,1000.0,1000.0,1000,1000,1000,3.8,-1.5999999999999979,
J606-11,7.1,0.0,7.1,-14.2,7.1,-21.3,0.9829830592271427,-14.9,0.0,0.64,-14.2,6.4,7.1,True,3.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.25,7.1,1000.0,1000.0,1000,1000,1000,4.0,-1.8000000000000007,
J606-8,5.9,0.0,5.9,-6.2,5.9,-12.1,0.9794545212896063,-6.9,0.0,0.5,-6.2,5.2,5.9,True,4.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.45,0.375,5.9,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J106,15.4,8.3,15.3,-29.4,10.1,-39.5,0.33414941630470585,-30.1,0.1,0.75,-29.5,9.4,10.0,True,8.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.625,10.0,1000.0,1000.0,1000,1000,1000,6.6,-3.0,
J206,8.8,0.0,8.8,-30.0,8.1,-38.1,0.9800063461349189,-30.7,0.0,0.55,-30.0,7.4,8.1,True,4.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.625,8.1,1000.0,1000.0,1000,1000,1000,0.0,0.0,
g1,11.8,0.0,11.8,-30.9,8.2,-39.1,0.6731344163076068,-31.4,0.0,0.5,-30.9,7.7,8.2,True,3.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.625,8.2,1000.0,1000.0,1000,1000,1000,3.7,-1.3000000000000007,
g2,7.7,0.0,7.7,-35.5,4.9,-40.4,0.7419559562042428,-36.0,0.0,0.4,-35.5,4.4,4.9,True,3.0,1000,1000,1000.0,1000,9,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.625,4.9,1000.0,1000.0,1000,1000,1000,6.3,-2.8999999999999986,
g3,9.8,6.8,9.4,-30.2,5.9,-36.1,0.3261688795754025,-30.6,0.4,0.8,-30.6,5.5,5.5,True,0.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.625,5.5,1000.0,1000.0,1000,1000,1000,9.4,-5.5,
g4,12.4,12.4,6.0,-29.8,5.9,-35.7,0.1968998402841717,-30.5,1.3,0.6,-31.1,5.2,4.6,True,2.0,1000,1000,1000.0,1000,4,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.25,4.6,1000.0,1000.0,1000,1000,1000,4.2,-1.3999999999999986,
g5,6.8,0.0,6.8,-31.8,4.1,-35.9,0.9169474157051755,-32.5,0.0,0.35,-31.8,3.4,4.1,True,5.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.625,4.1,1000.0,1000.0,1000,1000,1000,9.6,-1.0999999999999979,
g6,3.5,0.0,3.5,-35.3,3.5,-38.8,0.7124602454493688,-36.0,0.0,0.15,-35.3,2.8,3.5,True,5.0,1000,1000,1000.0,1000,16,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.625,3.5,1000.0,1000.0,1000,1000,1000,0.0,0.0,
g7,12.9,13.1,7.1,-23.2,7.2,-30.4,0.0019975921795562773,-23.7,3.6,0.65,-26.8,6.7,3.6,True,2.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.35,0.375,3.6,1000.0,1000.0,1000,1000,1000,2.9,-0.3999999999999986,
g8,11.5,11.5,7.9,-33.3,5.4,-38.7,0.004176382421690924,-34.0,3.2,0.45,-36.5,4.7,2.2,True,8.0,1000,1000,1000.0,1000,10,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,2.2,1000.0,1000.0,1000,1000,1000,0.0,0.0,
g9,7.4,0.0,7.4,-25.2,6.0,-31.2,0.9881834978748647,-25.9,0.0,0.55,-25.2,5.3,6.0,True,5.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.4,0.25,6.0,1000.0,1000.0,1000,1000,1000,0.0,0.0,
g10,10.7,0.0,10.7,-30.3,6.9,-37.2,0.8771471280725155,-31.0,0.0,0.4,-30.3,6.2,6.9,True,2.0,1000,1000,1000.0,1000,7,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.5,6.9,1000.0,1000.0,1000,1000,1000,0.0,0.0,
g11,17.1,17.1,8.5,-21.9,10.3,-32.2,0.0005708621216303573,-22.4,5.0,0.6,-26.9,9.8,5.3,True,3.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.4,0.25,5.3,1000.0,1000.0,1000,1000,1000,5.7,-1.3999999999999986,
g12,7.4,7.4,6.9,-27.0,3.1,-30.1,0.06363560263373289,-27.7,1.3,0.7,-28.3,2.4,1.8,True,4.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.35,0.375,1.8,1000.0,1000.0,1000,1000,1000,6.8,-0.3999999999999986,
g13,11.1,11.1,7.8,-16.3,4.8,-21.1,0.4868943309480982,-16.8,0.5,0.3,-16.8,4.3,4.3,True,2.0,1000,1000,1000.0,1000,14,1000.0,1000.0,1000.0,1000.0,1000.0,0.15,0.125,4.3,1000.0,1000.0,1000,1000,1000,4.4,-0.3000000000000007,
A,7.5,0.0,7.5,-32.1,5.2,-37.3,0.5489114311606726,-32.5,0.0,0.5,-32.1,4.8,5.2,True,3.0,1000,1000,1000.0,1000,6,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,5.2,1000.0,1000.0,1000,1000,1000,4.6,-2.1999999999999993,
